Perfume,Brand,Gender,Year,Top,Middle,Base,mainaccord1,mainaccord2,mainaccord3,mainaccord4,mainaccord5,Rating Value,Rating Count
tutti-twilly-d-hermes,hermes,women,2023.0,litchi,ginger flower,musk,fruity,warm spicy,fresh,tropical,musky,3.03,615
gaultier-divine-le-parfum,jean-paul-gaultier,women,2024.0,"solar notes, lily","frangipani, sea salt","amber, benzoin",amber,white floral,floral,aldehydic,tropical,3.07,30
red-roses-cologne-2023,jo-malone-london,women,2023.0,lemon,red rose,honeycomb,rose,floral,Unknown,Unknown,Unknown,3.08,36
muna,lattafa-perfumes,unisex,2022.0,"watermelon, strawberry","cyclamen, magnolia, peony, damask rose","musk, woody notes",floral,musky,fresh,rose,woody,3.1,30
phantom-legion,paco-rabanne,men,2022.0,"lemon zest, lavender, lemon","patchouli, smoke, lavender, earthy notes, apple","vanilla, lavender, vetiver",citrus,earthy,woody,aromatic,patchouli,3.11,213
vanilla-sex,tom-ford,unisex,2023.0,bitter almond,"vanilla, floral notes","vanilla absolute, ultravanil, tonka bean, sandalwood",vanilla,almond,sweet,nutty,powdery,3.11,1539
rose-amber-cologne-2024,jo-malone-london,women,2024.0,"clove, pink pepper","rose, ginger","amber, white musk, patchouli",rose,warm spicy,amber,musky,floral,3.16,45
aventus-oil,creed,men,2021.0,"pineapple, bergamot, black currant, apple","birch, patchouli, jasmine, rose","oakmoss, musk, ambergris, vanilla",woody,fruity,mossy,earthy,leather,3.17,36
bonne-etoile-baby-dior,dior,unisex,2023.0,green pear,wild rose,white musk,musky,powdery,Unknown,Unknown,Unknown,3.18,28
habit-rouge-l-instinct,guerlain,men,2022.0,"green notes, grapefruit, bergamot","cannabis, mate, red rose","leather, patchouli, vanilla",green,citrus,aromatic,cannabis,fresh spicy,3.18,247
neroli-portofino-parfum,tom-ford,unisex,2024.0,"neroli, bergamot, blood orange, lemon","tunisian neroli, clary sage, jasmine sambac, pitosporum","sylkolide, musk, amber",citrus,musky,white floral,amber,aromatic,3.18,101
xi-an,guerlain,unisex,2021.0,bamboo,floral notes,sandalwood,woody,floral,powdery,warm spicy,Unknown,3.19,31
le-male-xmas-limited-edition,jean-paul-gaultier,men,2023.0,mint,lavender,vanilla,lavender,vanilla,aromatic,fresh spicy,green,3.22,83
prada-paradoxe-virtual-flower,prada,women,2024.0,bergamot,"jasmine, neroli","musk, ambrette",white floral,musky,citrus,floral,powdery,3.22,36
perle-imperiale,guerlain,unisex,2024.0,bergamot,"fig, powdery notes","sandalwood, leather, myrrh",powdery,woody,fruity,leather,citrus,3.23,40
black-opium-storm-illusion,yves-saint-laurent,women,2020.0,"pink pepper, orange blossom, mandarin orange, bergamot, pear","tuberose, licorice, coffee, bitter almond, jasmine sambac","cashmirwood, white musk, vanilla, patchouli, cedar",woody,white floral,musky,sweet,soft spicy,3.24,29
till-sunrise,zara,men,2021.0,galbanum,cypress,tonka bean,aromatic,green,vanilla,amber,sweet,3.24,29
defy,calvin-klein,men,2021.0,"bergamot, lavender",vetiver,amber,aromatic,citrus,lavender,fresh spicy,amber,3.25,667
aqua-universalis-cologne-forte,maison-francis-kurkdjian,unisex,2021.0,bergamot,"sweet pea, mock orange",white musk,musky,citrus,sweet,floral,white floral,3.25,522
dark-wash,zara,men,2021.0,sesame,watery notes,sandalwood,aquatic,woody,aromatic,fresh,powdery,3.26,27
oud-mood-elixir,lattafa-perfumes,unisex,Inconnu,"saffron, nutmeg, cinnamon","agarwood (oud), suede, sandalwood","amber, vanilla",warm spicy,fresh spicy,oud,leather,powdery,3.27,138
ck-free-blue,calvin-klein,men,2011.0,"lavender, mint, mandarin orange","water notes, green notes, cardamom, nutmeg","musk, amber, leather",aquatic,green,fresh,aromatic,lavender,3.3,151
givenchy-pour-homme-silver-edition,givenchy,men,2017.0,"elemi, bergamot, grapefruit","sequoia, violet leaf","vetiver, tonka bean, patchouli",woody,aromatic,citrus,warm spicy,ozonic,3.3,61
lail-maleki,lattafa-perfumes,unisex,2018.0,"fruity notes, citruses, spicy notes","jasmine, honey, gardenia, orchid","sandalwood, musk, amber, caramel",white floral,sweet,fruity,honey,floral,3.3,187
hugo-jeans-man,hugo-boss,men,2022.0,"grapefruit, lime","juniper berries, mint","cedar, vetiver",aromatic,woody,fresh spicy,citrus,green,3.31,195
